id,producto,valor,tienda,destino
SA1554KF,Polera,10,tienda-A,casa-A
SA1684AH,Pantalón,12,tienda-B,casa-B
SA5698PO,Televisor,110,tienda-C,casa-C
SA5897AS,Consola de Videojuegos,95,tienda-A,casa-D
SA1589GD,Lavadora,100,tienda-B,casa-Q
SA8859SS,Polerón,15,tienda-C,casa-A
SA5713AS,Parca,20,tienda-B,casa-C
SA2589TR,Pelota,5,tienda-C,casa-P
SA1597EF,Raqueta,20,tienda-A,casa-F
SA3574FG,Refrigerador,120,tienda-B,casa-U
SA3698HJ,Tostador,25,tienda-C,casa-A
SA2563AS,Perfume,15,tienda-A,casa-N
SA1937JH,Tobillera,6,tienda-C,casa-N
SA5648AA,Notebook,80,tienda-B,casa-A
SA6947GH,Set de ollas,50,tienda-C,casa-C
SA5588HJ,Parlante,25,tienda-C,casa-E
SA6644DS,Lampara,30,tienda-A,casa-A
SA5974AA,Sillón,105,tienda-C,casa-C
SA2596NH,Mesa,90,tienda-A,casa-S
SA7748JK,Cama,115,tienda-B,casa-A